id,date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,weekday,total_sleep_records,total_minutes_asleep,total_time_in_bed
1503960366,2016-03-28,13231,8.93000030517578,8.93000030517578,0,3.19000005722046,0.790000021457672,4.94999980926514,0,39,20,224,1080,1932,Montag,NA,NA,NA
1503960366,2016-04-04,14557,9.80000019073486,9.80000019073486,0,3.39000010490417,0.699999988079071,5.69000005722046,0,43,18,285,757,2030,Montag,NA,NA,NA
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,Montag,NA,NA,NA
1624580081,2016-03-28,1905,1.24000000953674,1.24000000953674,0,0,0,1.24000000953674,0,0,0,95,1345,1342,Montag,NA,NA,NA
1624580081,2016-04-04,18464,12,12,0,0,0,12,0,0,0,270,1170,1574,Montag,NA,NA,NA
1624580081,2016-04-11,10000,6.5,6.5,0,0,0,6.5,0,0,0,172,1268,1469,Montag,NA,NA,NA
1644430081,2016-04-04,2819,2.04999995231628,2.04999995231628,0,0.310000002384186,0.170000001788139,1.55999994277954,0.00999999977648258,4,4,87,1345,2444,Montag,NA,NA,NA
1844505072,2016-04-04,0,0,0,0,0,0,0,0,0,0,0,669,1347,Montag,NA,NA,NA
1844505072,2016-04-11,5430,3.58999991416931,3.58999991416931,0,0,0,3.58999991416931,0,0,0,251,1189,1888,Montag,NA,NA,NA
1927972279,2016-04-04,2352,1.62999999523163,1.62999999523163,0,0,0,1.62999999523163,0,0,0,128,829,2380,Montag,NA,NA,NA
1927972279,2016-04-11,1209,0.839999973773956,0.839999973773956,0,0,0,0.839999973773956,0,0,0,73,842,2255,Montag,NA,NA,NA
2022484408,2016-04-04,15313,11,11,0,5.01999998092651,1.28999996185303,4.69000005722046,0,62,19,233,1126,2581,Montag,NA,NA,NA
2022484408,2016-04-11,10106,7.09000015258789,7.09000015258789,0,1.21000003814697,0.560000002384186,5.32999992370605,0,41,16,272,1111,2568,Montag,NA,NA,NA
2026352035,2016-04-04,6679,4.1399998664856,4.1399998664856,0,0,0,4.1399998664856,0,0,0,263,644,1583,Montag,NA,NA,NA
2026352035,2016-04-11,3279,2.02999997138977,2.02999997138977,0,0,0,2.02999997138977,0,0,0,164,694,1405,Montag,NA,NA,NA
2320127002,2016-04-04,0,0,0,0,0,0,0,0,0,0,0,1440,1324,Montag,NA,NA,NA
2320127002,2016-04-11,11230,7.67000007629395,7.67000007629395,0,0.889999985694885,0.119999997317791,6.65999984741211,0,10,2,390,1038,2206,Montag,NA,NA,NA
2347167796,2016-04-04,10254,6.80000019073486,6.80000019073486,0,1.41999995708466,1.23000001907349,4.15999984741211,0,21,25,231,638,2099,Montag,NA,NA,NA
2347167796,2016-04-11,10001,6.6100001335144,6.6100001335144,0,0.330000013113022,2.9300000667572,3.35999989509583,0,5,52,196,788,2009,Montag,NA,NA,NA
2873212765,2016-04-04,9713,6.53000020980835,6.53000020980835,0,0.340000003576279,0.889999985694885,5.28999996185303,0,6,24,355,1055,2046,Montag,NA,NA,NA
2873212765,2016-04-11,7497,5.03999996185303,5.03999996185303,0,0,0,5.03999996185303,0,0,0,357,882,1741,Montag,NA,NA,NA
2891001357,2016-04-04,0,0,0,0,0,0,0,0,0,0,0,1440,1920,Montag,NA,NA,NA
