id,date,calories,weekday,step_total,sleep_minutes
1503960366,2016-03-11T23:00:00Z,48,Samstag,0,NA
1503960366,2016-03-12T00:00:00Z,48,Samstag,0,NA
1503960366,2016-03-12T01:00:00Z,48,Samstag,0,NA
1503960366,2016-03-12T02:00:00Z,48,Samstag,0,NA
1503960366,2016-03-12T03:00:00Z,48,Samstag,0,NA
1503960366,2016-03-12T04:00:00Z,48,Samstag,0,NA
1503960366,2016-03-12T05:00:00Z,48,Samstag,0,NA
1503960366,2016-03-12T06:00:00Z,48,Samstag,0,NA
1503960366,2016-03-12T07:00:00Z,48,Samstag,0,NA
1503960366,2016-03-12T08:00:00Z,49,Samstag,8,NA
1503960366,2016-03-12T09:00:00Z,89,Samstag,551,NA
1503960366,2016-03-12T10:00:00Z,134,Samstag,1764,NA
1503960366,2016-03-12T11:00:00Z,130,Samstag,1259,NA
1503960366,2016-03-12T12:00:00Z,81,Samstag,253,NA
1503960366,2016-03-12T13:00:00Z,254,Samstag,4470,NA
1503960366,2016-03-12T14:00:00Z,271,Samstag,4919,NA
1503960366,2016-03-12T15:00:00Z,141,Samstag,1905,NA
1503960366,2016-03-12T16:00:00Z,104,Samstag,1038,NA
1503960366,2016-03-12T17:00:00Z,54,Samstag,14,NA
1503960366,2016-03-12T18:00:00Z,97,Samstag,606,NA
1503960366,2016-03-12T19:00:00Z,58,Samstag,56,NA
1503960366,2016-03-12T20:00:00Z,100,Samstag,782,NA
1503960366,2016-03-12T21:00:00Z,123,Samstag,1132,NA
1503960366,2016-03-12T22:00:00Z,111,Samstag,918,NA
1503960366,2016-03-12T23:00:00Z,55,Sonntag,39,NA
1503960366,2016-03-13T00:00:00Z,48,Sonntag,0,NA
1503960366,2016-03-13T01:00:00Z,50,Sonntag,27,25
1503960366,2016-03-13T02:00:00Z,48,Sonntag,0,60
1503960366,2016-03-13T03:00:00Z,48,Sonntag,0,60
1503960366,2016-03-13T04:00:00Z,48,Sonntag,0,60
1503960366,2016-03-13T05:00:00Z,48,Sonntag,0,60
1503960366,2016-03-13T06:00:00Z,49,Sonntag,0,60
1503960366,2016-03-13T07:00:00Z,49,Sonntag,6,60
